T,V,
-0.1252,-0.006,0
-0.125,0.002,0
-0.1248,0.012,0
-0.1246,-0.004,0.2
-0.1244,-0.002,0
-0.1242,-0.01,0
-0.124,-0.008,0
-0.1238,-0.002,0
-0.1236,0,0
-0.1234,0.028,0
-0.1232,-0.016,0.2
-0.123,-0.016,0
-0.1228,0.002,-0.2
-0.1226,-0.014,0
-0.1224,-0.008,0
-0.1222,0.006,0
-0.122,-0.008,0
-0.1218,0.008,0
-0.1216,0,0
-0.1214,-0.004,0
-0.1212,0.016,0
-0.121,-0.002,0
-0.1208,-0.01,0
-0.1206,-0.026,0
-0.1204,0.016,0
-0.1202,0.014,0
-0.12,0.026,0
-0.1198,-0.016,0
-0.1196,0.02,0
-0.1194,0.026,0
-0.1192,0.028,0
-0.119,0.012,0.2
-0.1188,0.014,0.2
-0.1186,-0.002,0
-0.1184,-0.01,0
-0.1182,0.02,0.2
-0.118,0.004,0
-0.1178,0.01,0
-0.1176,0.03,0.2
-0.1174,0,0
-0.1172,-0.012,0
-0.117,-0.002,0
-0.1168,0.008,0
-0.1166,-0.006,0
-0.1164,-0.016,0
-0.1162,-0.002,0
-0.116,-0.01,0
-0.1158,-0.022,0
-0.1156,0.008,0
-0.1154,-0.008,0
-0.1152,-0.01,0
-0.115,-0.004,0
-0.1148,0.004,0
-0.1146,-0.008,0
-0.1144,0.01,0
-0.1142,-0.008,0
-0.114,0.03,0
-0.1138,0.004,0
-0.1136,0.01,0
-0.1134,0.014,0
-0.1132,-0.006,0
-0.113,-0.014,0
-0.1128,-0.006,0
-0.1126,0.004,0
-0.1124,0.026,0
-0.1122,0.018,0
-0.112,0.004,0
-0.1118,-0.02,0.2
-0.1116,0.002,0
-0.1114,0.002,0
-0.1112,-0.01,0
-0.111,-0.016,0
-0.1108,0.038,0
-0.1106,0.018,0
-0.1104,0.004,0
-0.1102,0.008,0
-0.11,0.006,0
-0.1098,-0.012,0
-0.1096,-0.026,0.2
-0.1094,0.01,0
-0.1092,-0.014,0
-0.109,0,0.2
-0.1088,0.006,0
-0.1086,0.006,0
-0.1084,-0.02,0
-0.1082,-0.016,0
-0.108,0.002,0
-0.1078,-0.004,0
-0.1076,-0.016,0
-0.1074,0.018,0
-0.1072,0.002,0
-0.107,-0.002,0
-0.1068,-0.008,0
